date,new_cases
2021-09-01,14056.0
2021-09-02,16397.0
2021-09-03,20060.0
2021-09-04,12829.0
2021-09-04,7687.0
2021-09-05,19789.0
2021-09-06,22191.0
2021-09-07,17788.0
2021-09-08,17695.0
2021-09-09,22525.0
2021-09-10,17730.0
2021-09-11,25876.0
2021-09-12,21121.0
2021-09-13,20480.0
2021-09-14,17815.0
2021-09-15,16752.0
2021-09-16,20961.0
2021-09-17,20067.0
2021-09-18,22787.0
2021-09-19,19005.0
2021-09-20,18694.0
2021-09-21,16146.0
2021-09-22,15346.0
2021-09-23,17187.0
2021-09-24,18336.0
2021-09-25,10266.0
2021-09-26,20424.0
2021-09-27,18269.0
2021-09-28,13646.0
2021-09-29,12611.0
2021-09-30,14061.0
2021-10-01,15333.0
2021-10-02,14561.0
2021-10-03,13066.0
2021-10-04,10623.0
2021-10-05,8941.0
2021-10-06,9746.0
2021-10-07,9866.0
2021-10-08,10487.0
2021-10-09,10842.0
2021-10-10,11955.0
2021-10-11,8165.0
2021-10-12,8420.0
2021-10-13,7055.0
2021-10-14,7702.0
2021-10-15,7485.0
2021-10-16,7657.0
2021-10-17,6816.0
2021-10-18,6814.0
2021-10-19,4424.0
2021-10-20,3575.0
2021-10-21,4734.0
2021-10-22,5741.0
2021-10-23,5733.0
2021-10-24,5200.0
2021-10-25,4348.0
2021-10-26,4337.0
2021-10-27,3157.0
2021-10-28,7031.0
2021-10-29,3982.0
2021-10-30,3943.0
2021-10-31,3369.0
2021-11-01,3070.0
2021-11-02,2273.0
2021-11-03,1566.0
2021-11-04,1730.0
2021-11-05,2342.0
2021-11-06,2608.0
2021-11-07,2564.0
2021-11-08,2053.0
2021-11-09,1407.0
2021-11-10,2606.0
2021-11-11,1940.0
2021-11-12,1866.0
2021-11-13,1968.0
2021-11-14,1902.0
2021-11-15,1527.0
2021-11-16,832.0
2021-11-17,1168.0
2021-11-18,1281.0
2021-11-19,1451.0
2021-11-20,1454.0
2021-11-21,2198.0
2021-11-22,974.0
2021-11-23,1127.0
2021-11-24,869.0
2021-11-25,961.0
2021-11-26,853.0
2021-11-27,888.0
2021-11-28,831.0
2021-11-29,655.0
2021-11-30,420.0
2021-12-01,490.0
2021-12-02,554.0
2021-12-03,537.0
2021-12-04,507.0
2021-12-05,598.0
2021-12-06,538.0
2021-12-07,343.0
2021-12-08,362.0
2021-12-09,555.0
2021-12-10,370.0
2021-12-11,353.0
2021-12-12,400.0
2021-12-13,355.0
2021-12-14,233.0
2021-12-15,228.0
2021-12-16,282.0
2021-12-17,570.0
2021-12-18,285.0
2021-12-19,200.0
2021-12-20,260.0
2021-12-21,166.0
2021-12-22,254.0
2021-12-23,282.0
2021-12-24,299.0
2021-12-25,424.0
2021-12-26,428.0
2021-12-27,315.0
2021-12-28,402.0
2021-12-29,871.0
2021-12-30,1591.0
2021-12-31,2908.0
2022-01-01,3561.0
2022-01-02,4532.0
2022-01-03,4002.0
2022-01-04,5330.0
2022-01-05,10554.0
2022-01-06,16883.0
2022-01-07,21321.0
2022-01-08,25951.0
2022-01-09,28183.0
2022-01-10,32601.0
2022-01-11,27514.0
2022-01-12,31556.0
2022-01-13,4305.0
2022-01-13,28966.0
2022-01-14,36573.0
2022-01-15,38370.0
2022-01-16,36560.0
2022-01-17,36505.0
2022-01-18,28011.0
2022-01-19,22564.0
2022-01-20,30645.0
2022-01-21,32176.0
2022-01-22,30015.0
2022-01-23,29383.0
2022-01-24,24670.0
2022-01-25,17333.0
2022-01-26,15523.0
2022-01-27,17530.0
2022-01-28,18369.0
2022-01-29,17107.0
2022-01-30,16680.0
2022-01-31,14128.0
2022-02-01,9286.0
2022-02-02,7490.0
2022-02-03,8586.0
2022-02-04,8365.0
2022-02-05,7571.0
2022-02-06,7768.0
2022-02-07,6622.0
2022-02-08,3086.0
2022-02-09,3482.0
2022-02-10,4395.0
2022-02-11,3729.0
2022-02-12,3644.0
2022-02-13,3017.0
2022-02-14,2687.0
2022-02-15,1946.0
2022-02-16,1935.0
2022-02-17,2097.0
2022-02-18,2150.0
2022-02-19,1828.0
2022-02-20,1640.0
2022-02-21,1372.0
2022-02-22,967.0
2022-02-23,1482.0
2022-02-24,1696.0
2022-02-25,1616.0
2022-02-26,1164.0
2022-02-27,1011.0
2022-02-28,916.0
2022-03-01,1047.0
2022-03-02,828.0
2022-03-03,947.0
2022-03-04,812.0
2022-03-05,896.0
2022-03-06,834.0
2022-03-07,711.0
2022-03-08,431.0
2022-03-09,558.0
2022-03-10,576.0
2022-03-11,579.0
2022-03-12,628.0
2022-03-13,540.0
2022-03-14,536.0
2022-03-15,376.0
2022-03-16,372.0
2022-03-17,566.0
2022-03-18,523.0
2022-03-19,500.0
2022-03-20,538.0
2022-03-21,402.0
2022-03-22,281.0
2022-03-23,389.0
2022-03-24,423.0
2022-03-25,390.0
2022-03-26,425.0
2022-03-27,323.0
2022-03-28,368.0
2022-03-29,238.0
2022-03-30,300.0
2022-03-31,311.0
2022-04-01,342.0
2022-04-02,361.0
2022-04-03,653.0
2022-04-04,259.0
2022-04-05,218.0
2022-04-06,253.0
2022-04-07,263.0
2022-04-08,276.0
2022-04-09,288.0
2022-04-10,269.0
2022-04-11,263.0
2022-04-12,199.0
2022-04-13,224.0
2022-04-14,263.0
2022-04-15,266.0
