date,quarantine meaning,quarantine pass,home quarantine,quarantine tagalog,manila quarantine,time pandemic,bureau quarantine,quarantine status,essay pandemic,quarantine certificate,pandemic essay,new_cases
2020-03-10,6,0,2,4,0,0,0,0,0,0,0,9
2020-03-11,4,0,2,6,0,0,2,0,0,0,0,13
2020-03-12,64,0,2,26,22,2,3,0,0,0,0,3
2020-03-13,45,0,4,30,34,0,2,0,0,0,0,11
2020-03-14,31,0,5,28,42,0,0,0,0,0,0,46
2020-03-15,33,0,10,27,23,0,0,0,0,0,0,28
2020-03-16,78,0,14,49,35,0,3,0,0,0,0,1
2020-03-17,38,0,14,26,17,0,2,2,0,0,0,43
2020-03-18,34,0,17,30,12,0,0,0,0,0,0,15
2020-03-19,34,11,23,31,11,0,0,0,0,0,0,14
2020-03-20,34,25,24,25,12,0,0,0,0,0,0,13
2020-03-21,41,39,29,21,9,0,0,3,0,0,0,74
2020-03-22,31,30,22,15,10,0,0,0,0,0,0,69
2020-03-23,28,27,25,14,11,3,0,0,0,0,0,79
2020-03-24,28,20,20,9,10,0,0,0,0,0,0,88
2020-03-25,29,19,20,11,11,0,0,0,0,0,0,81
2020-03-26,33,21,21,11,10,0,0,0,0,0,0,66
2020-03-27,25,18,17,8,8,3,0,0,0,0,0,98
2020-03-28,19,15,12,9,7,0,0,0,0,0,0,258
2020-03-29,16,16,15,8,7,3,0,0,2,2,2,318
2020-03-30,16,13,23,10,8,0,0,0,0,0,0,124
2020-03-31,18,10,25,8,7,0,0,0,0,0,0,511
2020-04-01,19,11,18,11,5,0,0,0,0,0,0,216
2020-04-02,13,9,16,7,5,2,0,0,0,0,0,305
2020-04-03,15,5,15,6,5,0,0,0,0,0,0,365
2020-04-04,18,7,11,4,6,0,0,0,0,0,0,72
2020-04-05,17,8,13,5,7,0,0,0,0,0,0,138
2020-04-06,22,9,14,8,9,0,0,0,0,0,0,379
2020-04-07,16,7,8,9,6,0,0,0,0,0,0,96
2020-04-08,11,7,8,5,5,3,0,0,0,0,0,100
2020-04-09,8,5,7,4,4,3,0,0,0,0,0,191
2020-04-10,8,3,5,4,3,0,0,0,0,0,0,107
2020-04-11,8,6,6,2,2,0,0,0,0,0,0,211
2020-04-12,6,7,6,0,0,0,0,0,0,0,0,210
2020-04-13,11,9,5,4,3,0,0,0,0,0,0,249
2020-04-14,13,8,7,5,5,0,0,0,0,0,0,269
2020-04-15,12,9,5,4,4,0,0,0,0,0,0,213
2020-04-16,13,10,7,3,6,0,0,0,0,0,0,176
2020-04-17,11,10,7,4,2,0,0,0,0,0,0,202
2020-04-18,13,7,6,8,5,2,0,0,0,0,0,196
2020-04-19,13,8,5,7,3,0,0,0,0,0,0,161
2020-04-20,13,12,7,7,5,0,0,0,0,0,0,191
2020-04-21,14,10,5,7,4,0,0,0,0,0,0,129
2020-04-22,15,12,6,7,3,0,0,0,2,0,2,99
2020-04-23,18,7,6,10,5,3,0,0,0,0,0,261
2020-04-24,78,9,6,11,8,2,0,0,0,0,0,196
2020-04-25,15,7,5,5,3,2,0,0,0,0,0,95
2020-04-26,12,8,3,4,3,3,0,0,0,0,0,265
2020-04-27,20,7,5,6,3,2,0,2,0,0,0,189
2020-04-28,27,7,5,10,4,3,0,0,3,0,3,174
2020-04-29,15,8,5,6,3,0,0,0,0,0,0,231
2020-04-30,15,9,5,6,4,0,0,0,3,0,3,261
2020-05-01,18,9,4,6,4,2,0,0,0,0,0,276
2020-05-02,13,4,3,2,3,0,0,0,0,0,0,153
2020-05-03,11,5,4,4,2,2,0,0,0,0,0,288
2020-05-04,8,6,4,3,4,4,0,0,0,0,0,253
2020-05-05,6,5,5,2,2,3,0,0,2,0,2,191
2020-05-06,6,5,3,3,2,2,0,0,0,0,0,314
2020-05-07,9,5,5,4,4,3,0,0,0,0,0,324
2020-05-08,8,4,4,3,5,3,0,0,2,0,2,115
2020-05-09,5,5,3,3,5,2,0,0,3,0,3,136
2020-05-10,5,4,2,2,5,3,0,0,0,0,0,176
2020-05-11,8,3,3,5,5,3,0,0,2,0,2,279
2020-05-12,100,9,4,42,13,2,0,2,3,0,3,256
2020-05-13,33,9,4,12,6,4,0,0,3,0,3,258
2020-05-14,17,7,3,6,4,0,0,3,2,0,2,251
2020-05-15,15,10,3,7,5,3,2,2,0,0,0,205
2020-05-16,15,13,4,7,6,3,0,0,3,0,3,210
2020-05-17,9,12,3,5,4,0,0,0,3,0,3,199
2020-05-18,6,11,3,3,3,2,0,0,3,0,3,201
2020-05-19,5,10,2,2,3,3,0,0,0,0,0,213
2020-05-20,6,10,2,3,3,3,2,0,3,0,3,269
2020-05-21,6,8,0,3,2,3,2,0,2,0,2,209
2020-05-22,5,7,2,3,0,4,3,0,3,0,3,159
2020-05-23,4,7,3,0,2,0,0,0,2,0,2,172
2020-05-24,4,7,0,2,3,3,0,0,2,0,2,248
2020-05-25,5,7,3,4,3,3,0,0,2,0,2,275
2020-05-26,6,7,2,0,4,0,2,2,0,0,0,334
2020-05-27,5,6,3,3,5,2,3,0,4,3,4,364
2020-05-28,23,11,3,10,5,3,0,3,2,4,2,512
2020-05-29,15,13,3,4,4,3,3,3,3,3,3,1022
2020-05-30,7,11,2,2,3,3,0,0,0,0,0,564
2020-05-31,7,12,3,3,5,0,0,0,0,3,0,821
2020-06-01,3,11,2,0,4,3,2,3,0,0,0,532
2020-06-02,3,8,3,2,3,0,4,0,2,0,2,351
2020-06-03,2,7,2,2,0,2,3,0,3,0,2,731
2020-06-04,3,4,0,2,3,0,3,0,2,2,2,617
2020-06-05,3,4,0,0,3,0,2,2,3,2,2,235
2020-06-06,3,4,3,3,0,0,2,0,2,3,2,679
2020-06-07,4,4,2,0,2,0,2,0,2,0,2,540
2020-06-08,3,4,2,0,3,2,3,0,3,0,2,557
2020-06-09,3,2,0,0,2,5,3,0,2,2,2,496
2020-06-10,2,3,0,0,3,3,3,0,2,2,2,712
2020-06-11,4,0,3,0,2,0,3,0,0,2,0,430
2020-06-12,3,2,0,3,3,2,2,0,0,0,0,597
2020-06-13,2,2,2,0,2,2,2,3,5,0,5,586
2020-06-14,3,3,0,0,3,0,0,3,0,2,0,512
2020-06-15,6,2,2,2,9,3,4,8,0,2,0,468
2020-06-16,5,3,0,2,4,2,3,2,0,0,0,353
2020-06-17,3,2,0,0,2,3,2,0,0,2,0,444
2020-06-18,2,0,0,0,2,0,5,0,0,0,0,545
2020-06-19,2,3,3,0,2,2,3,0,2,3,2,638
2020-06-20,0,2,2,0,3,3,0,0,0,0,0,927
2020-06-21,0,0,2,0,0,0,3,0,0,0,0,632
2020-06-22,3,2,2,0,2,0,3,0,0,0,0,610
2020-06-23,3,4,0,0,0,0,3,2,0,2,0,1110
2020-06-24,3,2,2,0,2,0,2,0,0,0,0,455
2020-06-25,0,2,0,0,0,0,2,0,0,0,0,746
2020-06-26,0,3,0,0,0,3,2,0,0,0,0,981
2020-06-27,0,4,0,0,3,0,0,0,0,0,0,717
2020-06-28,0,3,2,0,3,2,0,0,0,0,0,624
2020-06-29,4,3,3,0,3,2,2,0,0,2,0,947
2020-06-30,7,6,0,4,7,0,3,10,0,2,0,1025
2020-07-01,8,4,0,2,5,3,3,5,0,2,0,824
2020-07-02,3,3,0,0,2,4,3,3,0,0,0,251
2020-07-03,2,2,0,0,2,2,3,0,0,0,0,1448
2020-07-04,2,2,0,0,0,0,3,0,0,0,0,1326
2020-07-05,4,0,0,0,0,2,3,0,0,0,0,2273
2020-07-06,2,2,3,0,0,2,4,0,0,3,0,1946
2020-07-07,2,2,0,0,3,0,3,2,0,2,0,1448
2020-07-08,3,0,0,0,2,0,3,0,0,0,0,2269
2020-07-09,2,0,0,0,2,3,0,0,0,0,0,1308
2020-07-10,2,0,2,0,2,3,2,0,0,3,0,1149
2020-07-11,0,0,3,0,4,3,0,0,0,2,0,1299
2020-07-12,0,0,2,0,0,3,2,0,0,0,0,2019
2020-07-13,3,0,2,0,2,2,0,0,0,0,0,793
2020-07-14,4,2,2,0,2,3,3,0,0,0,0,585
2020-07-15,7,0,2,2,5,0,0,11,0,2,0,1239
2020-07-16,3,2,3,2,5,3,3,7,0,2,0,2345
2020-07-17,2,0,2,0,2,3,3,2,0,2,0,1636
2020-07-18,0,2,0,2,0,0,3,0,0,3,0,2183
2020-07-19,0,0,0,0,2,2,0,0,0,0,0,2111
2020-07-20,3,2,3,0,2,0,3,0,0,0,0,1468
2020-07-21,0,0,2,0,3,3,2,2,0,0,0,1879
2020-07-22,0,0,0,0,3,2,2,3,0,0,0,1418
