,date,new_cases
0,2020-12-05,1672
1,2020-12-06,1701
2,2020-12-07,1529
3,2020-12-08,1353
4,2020-12-09,1350
5,2020-12-10,1329
6,2020-12-11,1462
7,2020-12-12,1258
8,2020-12-13,1008
9,2020-12-14,1281
10,2020-12-15,1101
11,2020-12-16,1108
12,2020-12-17,1417
13,2020-12-18,2056
14,2020-12-19,1431
15,2020-12-20,1680
16,2020-12-21,1640
17,2020-12-22,1261
18,2020-12-23,1164
19,2020-12-24,1729
20,2020-12-25,1828
21,2020-12-26,1355
22,2020-12-27,847
23,2020-12-28,744
24,2020-12-29,854
25,2020-12-30,977
26,2020-12-31,1484
27,2021-01-01,1700
28,2021-01-02,1065
29,2021-01-03,857
30,2021-01-04,930
31,2021-01-05,903
32,2021-01-06,1001
33,2021-01-07,1311
34,2021-01-08,1718
35,2021-01-09,1883
36,2021-01-10,1849
37,2021-01-11,1996
38,2021-01-12,1478
39,2021-01-13,1405
40,2021-01-14,1854
41,2021-01-15,1991
42,2021-01-16,2001
43,2021-01-17,1832
44,2021-01-18,2108
45,2021-01-19,1307
46,2021-01-20,1625
47,2021-01-21,1708
48,2021-01-22,2097
49,2021-01-23,1741
50,2021-01-24,1881
51,2021-01-25,1530
52,2021-01-26,1148
53,2021-01-27,2172
54,2021-01-28,1134
55,2021-01-29,1783
56,2021-01-30,2045
57,2021-01-31,2030
58,2021-02-01,1596
59,2021-02-02,1542
60,2021-02-03,1224
61,2021-02-04,1540
62,2021-02-05,1816
63,2021-02-06,1890
64,2021-02-07,1744
65,2021-02-08,1631
66,2021-02-09,1197
67,2021-02-10,1301
68,2021-02-11,1689
69,2021-02-12,1965
70,2021-02-13,1898
71,2021-02-14,1864
72,2021-02-15,1635
73,2021-02-16,1350
74,2021-02-17,1146
75,2021-02-18,1672
76,2021-02-19,1830
77,2021-02-20,2171
78,2021-02-21,1824
79,2021-02-22,2197
80,2021-02-23,1362
81,2021-02-24,1494
82,2021-02-25,2182
83,2021-02-26,2562
84,2021-02-27,2830
85,2021-02-28,2026
86,2021-03-01,1959
87,2021-03-02,1994
88,2021-03-03,1716
89,2021-03-04,2315
90,2021-03-05,2915
91,2021-03-06,3287
92,2021-03-07,3132
93,2021-03-08,3231
94,2021-03-09,2561
95,2021-03-10,2749
96,2021-03-11,3595
97,2021-03-12,4376
98,2021-03-13,4787
99,2021-03-14,4669
100,2021-03-15,5163
101,2021-03-16,4243
102,2021-03-17,4175
103,2021-03-18,5023
104,2021-03-19,6749
105,2021-03-20,7598
106,2021-03-21,7369
107,2021-03-22,7660
108,2021-03-23,5608
109,2021-03-24,6313
110,2021-03-25,8352
111,2021-03-26,9305
112,2021-03-27,9111
113,2021-03-28,8992
114,2021-03-29,9504
115,2021-03-30,8893
116,2021-03-31,5875
117,2021-04-01,8469
118,2021-04-02,14706
119,2021-04-03,12073
120,2021-04-04,10601
121,2021-04-05,8024
122,2021-04-06,8949
123,2021-04-07,6104
124,2021-04-08,8781
125,2021-04-09,11676
126,2021-04-10,12180
127,2021-04-11,11206
128,2021-04-12,10883
129,2021-04-13,8263
130,2021-04-14,7822
131,2021-04-15,10973
132,2021-04-16,10282
133,2021-04-17,10708
134,2021-04-18,9708
