,date,new_cases
135,2021-04-19,9298
136,2021-04-20,7136
137,2021-04-21,8884
138,2021-04-22,8455
139,2021-04-23,8405
140,2021-04-24,9347
141,2021-04-25,7844
142,2021-04-26,8605
143,2021-04-27,6986
144,2021-04-28,6686
145,2021-04-29,7958
146,2021-04-30,8484
147,2021-05-01,8939
148,2021-05-02,8121
149,2021-05-03,7029
150,2021-05-04,5510
151,2021-05-05,5476
152,2021-05-06,6421
153,2021-05-07,7511
154,2021-05-08,6767
155,2021-05-09,6944
156,2021-05-10,6642
157,2021-05-11,4597
158,2021-05-12,4715
159,2021-05-13,6153
160,2021-05-14,6574
161,2021-05-15,6555
162,2021-05-16,5616
163,2021-05-17,5807
164,2021-05-18,4365
165,2021-05-19,4552
166,2021-05-20,5904
167,2021-05-21,6076
168,2021-05-22,6657
169,2021-05-23,2978
170,2021-05-24,4826
171,2021-05-25,3887
172,2021-05-26,5174
173,2021-05-27,6317
174,2021-05-28,8499
175,2021-05-29,7230
176,2021-05-30,6869
177,2021-05-31,6522
178,2021-06-01,5048
179,2021-06-02,5099
180,2021-06-03,7038
181,2021-06-04,7268
182,2021-06-05,6769
183,2021-06-06,7016
184,2021-06-07,6388
185,2021-06-08,4661
186,2021-06-09,5329
187,2021-06-10,7300
188,2021-06-11,6486
189,2021-06-12,7840
190,2021-06-13,7101
191,2021-06-14,6262
192,2021-06-15,5268
193,2021-06-16,5275
194,2021-06-17,6475
195,2021-06-18,6674
196,2021-06-19,6782
197,2021-06-20,5663
198,2021-06-21,5065
199,2021-06-22,3616
200,2021-06-23,4249
201,2021-06-24,5854
202,2021-06-25,6623
203,2021-06-26,6733
204,2021-06-27,5937
205,2021-06-28,5462
206,2021-06-29,4357
207,2021-06-30,4393
208,2021-07-01,5674
209,2021-07-02,6048
210,2021-07-03,5748
211,2021-07-04,5827
212,2021-07-05,5267
213,2021-07-06,4018
214,2021-07-07,4196
215,2021-07-08,5346
216,2021-07-09,5748
217,2021-07-10,5524
218,2021-07-11,5796
219,2021-07-12,5065
220,2021-07-13,3513
221,2021-07-14,3711
222,2021-07-15,5104
223,2021-07-16,5531
224,2021-07-17,5862
225,2021-07-18,5262
226,2021-07-19,5486
227,2021-07-20,4381
228,2021-07-21,5678
229,2021-07-22,5204
230,2021-07-23,6183
231,2021-07-24,5978
232,2021-07-25,4775
233,2021-07-26,5918
234,2021-07-27,4413
235,2021-07-28,4045
236,2021-07-29,5588
237,2021-07-30,7949
238,2021-07-31,8071
239,2021-08-01,8660
240,2021-08-02,8081
241,2021-08-03,6807
242,2021-08-04,7264
243,2021-08-05,8051
244,2021-08-06,10510
245,2021-08-07,10898
246,2021-08-08,9561
247,2021-08-09,8811
248,2021-08-10,8462
249,2021-08-11,11878
250,2021-08-12,12275
251,2021-08-13,13007
252,2021-08-14,14081
253,2021-08-15,14574
254,2021-08-16,14429
255,2021-08-17,9911
256,2021-08-18,10951
257,2021-08-19,14707
258,2021-08-20,17006
259,2021-08-21,16470
260,2021-08-22,15869
261,2021-08-23,18123
262,2021-08-24,11912
263,2021-08-25,13429
264,2021-08-26,16121
265,2021-08-27,17248
266,2021-08-28,19202
267,2021-08-29,18314
268,2021-08-30,22093
269,2021-08-31,13685
