,date,new_cases
0,2021-09-01,14056.0
1,2021-09-02,16397.0
2,2021-09-03,20060.0
3,2021-09-04,12829.0
4,2021-09-04,7687.0
5,2021-09-05,19789.0
6,2021-09-06,22191.0
7,2021-09-07,17788.0
8,2021-09-08,17695.0
9,2021-09-09,22525.0
10,2021-09-10,17730.0
11,2021-09-11,25876.0
12,2021-09-12,21121.0
13,2021-09-13,20480.0
14,2021-09-14,17815.0
15,2021-09-15,16752.0
16,2021-09-16,20961.0
17,2021-09-17,20067.0
18,2021-09-18,22787.0
19,2021-09-19,19005.0
20,2021-09-20,18694.0
21,2021-09-21,16146.0
22,2021-09-22,15346.0
23,2021-09-23,17187.0
24,2021-09-24,18336.0
25,2021-09-25,10266.0
26,2021-09-26,20424.0
27,2021-09-27,18269.0
28,2021-09-28,13646.0
29,2021-09-29,12611.0
30,2021-09-30,14061.0
31,2021-10-01,15333.0
32,2021-10-02,14561.0
33,2021-10-03,13066.0
34,2021-10-04,10623.0
35,2021-10-05,8941.0
36,2021-10-06,9746.0
37,2021-10-07,9866.0
38,2021-10-08,10487.0
39,2021-10-09,10842.0
40,2021-10-10,11955.0
41,2021-10-11,8165.0
42,2021-10-12,8420.0
43,2021-10-13,7055.0
44,2021-10-14,7702.0
45,2021-10-15,7485.0
46,2021-10-16,7657.0
47,2021-10-17,6816.0
48,2021-10-18,6814.0
49,2021-10-19,4424.0
50,2021-10-20,3575.0
51,2021-10-21,4734.0
52,2021-10-22,5741.0
53,2021-10-23,5733.0
54,2021-10-24,5200.0
55,2021-10-25,4348.0
56,2021-10-26,4337.0
57,2021-10-27,3157.0
58,2021-10-28,7031.0
59,2021-10-29,3982.0
60,2021-10-30,3943.0
61,2021-10-31,3369.0
62,2021-11-01,3070.0
63,2021-11-02,2273.0
64,2021-11-03,1566.0
65,2021-11-04,1730.0
66,2021-11-05,2342.0
67,2021-11-06,2608.0
68,2021-11-07,2564.0
69,2021-11-08,2053.0
70,2021-11-09,1407.0
71,2021-11-10,2606.0
72,2021-11-11,1940.0
73,2021-11-12,1866.0
74,2021-11-13,1968.0
75,2021-11-14,1902.0
76,2021-11-15,1527.0
77,2021-11-16,832.0
78,2021-11-17,1168.0
79,2021-11-18,1281.0
80,2021-11-19,1451.0
81,2021-11-20,1454.0
82,2021-11-21,2198.0
83,2021-11-22,974.0
84,2021-11-23,1127.0
85,2021-11-24,869.0
86,2021-11-25,961.0
87,2021-11-26,853.0
88,2021-11-27,888.0
89,2021-11-28,831.0
90,2021-11-29,655.0
91,2021-11-30,420.0
92,2021-12-01,490.0
93,2021-12-02,554.0
94,2021-12-03,537.0
95,2021-12-04,507.0
96,2021-12-05,598.0
97,2021-12-06,538.0
98,2021-12-07,343.0
99,2021-12-08,362.0
100,2021-12-09,555.0
101,2021-12-10,370.0
102,2021-12-11,353.0
103,2021-12-12,400.0
104,2021-12-13,355.0
105,2021-12-14,233.0
106,2021-12-15,228.0
107,2021-12-16,282.0
108,2021-12-17,570.0
109,2021-12-18,285.0
110,2021-12-19,200.0
111,2021-12-20,260.0
112,2021-12-21,166.0
113,2021-12-22,254.0
114,2021-12-23,282.0
115,2021-12-24,299.0
116,2021-12-25,424.0
117,2021-12-26,428.0
118,2021-12-27,315.0
119,2021-12-28,402.0
120,2021-12-29,871.0
121,2021-12-30,1591.0
122,2021-12-31,2908.0
123,2022-01-01,3561.0
124,2022-01-02,4532.0
125,2022-01-03,4002.0
126,2022-01-04,5330.0
127,2022-01-05,10554.0
128,2022-01-06,16883.0
129,2022-01-07,21321.0
130,2022-01-08,25951.0
131,2022-01-09,28183.0
132,2022-01-10,32601.0
133,2022-01-11,27514.0
134,2022-01-12,31556.0
135,2022-01-13,4305.0
