date,time pandemic,essay pandemic,pandemic essay,quarantine meaning,effect pandemic,home quarantine,quarantine pass,manila quarantine,quarantine tagalog,quarantine status,bureau quarantine,quarantine certificate,new_cases
2020-11-25,66,35,35,10,14,13,0,9,0,0,10,0,1159
2020-11-26,71,45,45,20,16,0,0,8,0,0,9,0,1341
2020-11-27,51,35,35,0,18,0,0,0,0,0,0,0,1570
2020-11-28,47,25,25,13,13,11,0,0,0,0,0,0,1843
2020-11-29,46,31,31,0,10,14,0,0,0,0,0,0,2016
2020-11-30,78,32,32,25,19,11,0,20,12,21,0,0,1708
2020-12-01,62,36,36,14,17,0,0,11,9,11,16,0,1259
2020-12-02,57,45,45,12,23,18,0,0,14,0,9,0,1381
2020-12-03,77,40,40,14,25,14,0,10,9,0,0,0,1033
2020-12-04,53,32,32,14,20,10,0,17,0,16,15,0,901
