,date,new_cases
135,2020-07-23,2050
136,2020-07-24,1967
137,2020-07-25,1911
138,2020-07-26,1970
139,2020-07-27,1593
140,2020-07-28,1575
141,2020-07-29,1770
142,2020-07-30,3767
143,2020-07-31,3802
144,2020-08-01,4671
145,2020-08-02,4751
146,2020-08-03,3057
147,2020-08-04,5695
148,2020-08-05,3294
149,2020-08-06,3360
150,2020-08-07,3193
151,2020-08-08,3998
152,2020-08-09,2905
153,2020-08-10,6609
154,2020-08-11,2780
155,2020-08-12,4060
156,2020-08-13,3786
157,2020-08-14,5859
158,2020-08-15,4036
159,2020-08-16,3187
160,2020-08-17,3111
161,2020-08-18,4612
162,2020-08-19,4328
163,2020-08-20,4067
164,2020-08-21,4515
165,2020-08-22,4657
166,2020-08-23,2234
167,2020-08-24,4427
168,2020-08-25,2823
169,2020-08-26,5018
170,2020-08-27,3077
171,2020-08-28,3798
172,2020-08-29,3451
173,2020-08-30,4080
174,2020-08-31,3286
175,2020-09-01,3318
176,2020-09-02,2121
177,2020-09-03,1847
178,2020-09-04,3531
179,2020-09-05,2396
180,2020-09-06,2697
181,2020-09-07,1321
182,2020-09-08,3125
183,2020-09-09,3029
184,2020-09-10,3682
185,2020-09-11,3908
186,2020-09-12,4736
187,2020-09-13,3238
188,2020-09-14,4533
189,2020-09-15,3407
190,2020-09-16,3377
191,2020-09-17,3235
192,2020-09-18,3100
193,2020-09-19,3640
194,2020-09-20,3004
195,2020-09-21,2785
196,2020-09-22,1561
197,2020-09-23,2691
198,2020-09-24,2072
199,2020-09-25,2493
200,2020-09-26,2580
201,2020-09-27,2827
202,2020-09-28,2946
203,2020-09-29,1894
204,2020-09-30,2297
205,2020-10-01,2288
206,2020-10-02,2460
207,2020-10-03,2527
208,2020-10-04,3045
209,2020-10-05,2154
210,2020-10-06,1991
211,2020-10-07,2674
212,2020-10-08,2246
213,2020-10-09,2870
214,2020-10-10,2171
215,2020-10-11,2402
216,2020-10-12,3443
217,2020-10-13,1926
218,2020-10-14,1832
219,2020-10-15,2195
220,2020-10-16,3037
221,2020-10-17,2559
222,2020-10-18,2287
223,2020-10-19,2546
224,2020-10-20,1583
225,2020-10-21,1453
226,2020-10-22,1592
227,2020-10-23,1850
228,2020-10-24,2004
229,2020-10-25,2156
230,2020-10-26,1547
231,2020-10-27,1470
232,2020-10-28,2001
233,2020-10-29,1701
234,2020-10-30,1914
235,2020-10-31,1740
236,2020-11-01,2312
237,2020-11-02,2214
238,2020-11-03,1715
239,2020-11-04,949
240,2020-11-05,1541
241,2020-11-06,2018
242,2020-11-07,2092
243,2020-11-08,2366
244,2020-11-09,1994
245,2020-11-10,1299
246,2020-11-11,1627
247,2020-11-12,1374
248,2020-11-13,1827
249,2020-11-14,1604
250,2020-11-15,1494
251,2020-11-16,1680
252,2020-11-17,1098
253,2020-11-18,1340
254,2020-11-19,1285
255,2020-11-20,1587
256,2020-11-21,1733
257,2020-11-22,1925
258,2020-11-23,1763
259,2020-11-24,1073
260,2020-11-25,1159
261,2020-11-26,1341
262,2020-11-27,1570
263,2020-11-28,1843
264,2020-11-29,2016
265,2020-11-30,1708
266,2020-12-01,1259
267,2020-12-02,1381
268,2020-12-03,1033
269,2020-12-04,901
