,date,new_cases
136,2022-01-13,28966.0
137,2022-01-14,36573.0
138,2022-01-15,38370.0
139,2022-01-16,36560.0
140,2022-01-17,36505.0
141,2022-01-18,28011.0
142,2022-01-19,22564.0
143,2022-01-20,30645.0
144,2022-01-21,32176.0
145,2022-01-22,30015.0
146,2022-01-23,29383.0
147,2022-01-24,24670.0
148,2022-01-25,17333.0
149,2022-01-26,15523.0
150,2022-01-27,17530.0
151,2022-01-28,18369.0
152,2022-01-29,17107.0
153,2022-01-30,16680.0
154,2022-01-31,14128.0
155,2022-02-01,9286.0
156,2022-02-02,7490.0
157,2022-02-03,8586.0
158,2022-02-04,8365.0
159,2022-02-05,7571.0
160,2022-02-06,7768.0
161,2022-02-07,6622.0
162,2022-02-08,3086.0
163,2022-02-09,3482.0
164,2022-02-10,4395.0
165,2022-02-11,3729.0
166,2022-02-12,3644.0
167,2022-02-13,3017.0
168,2022-02-14,2687.0
169,2022-02-15,1946.0
170,2022-02-16,1935.0
171,2022-02-17,2097.0
172,2022-02-18,2150.0
173,2022-02-19,1828.0
174,2022-02-20,1640.0
175,2022-02-21,1372.0
176,2022-02-22,967.0
177,2022-02-23,1482.0
178,2022-02-24,1696.0
179,2022-02-25,1616.0
180,2022-02-26,1164.0
181,2022-02-27,1011.0
182,2022-02-28,916.0
183,2022-03-01,1047.0
184,2022-03-02,828.0
185,2022-03-03,947.0
186,2022-03-04,812.0
187,2022-03-05,896.0
188,2022-03-06,834.0
189,2022-03-07,711.0
190,2022-03-08,431.0
191,2022-03-09,558.0
192,2022-03-10,576.0
193,2022-03-11,579.0
194,2022-03-12,628.0
195,2022-03-13,540.0
196,2022-03-14,536.0
197,2022-03-15,376.0
198,2022-03-16,372.0
199,2022-03-17,566.0
200,2022-03-18,523.0
201,2022-03-19,500.0
202,2022-03-20,538.0
203,2022-03-21,402.0
204,2022-03-22,281.0
205,2022-03-23,389.0
206,2022-03-24,423.0
207,2022-03-25,390.0
208,2022-03-26,425.0
209,2022-03-27,323.0
210,2022-03-28,368.0
211,2022-03-29,238.0
212,2022-03-30,300.0
213,2022-03-31,311.0
214,2022-04-01,342.0
215,2022-04-02,361.0
216,2022-04-03,653.0
217,2022-04-04,259.0
218,2022-04-05,218.0
219,2022-04-06,253.0
220,2022-04-07,263.0
221,2022-04-08,276.0
222,2022-04-09,288.0
223,2022-04-10,269.0
224,2022-04-11,263.0
225,2022-04-12,199.0
226,2022-04-13,224.0
227,2022-04-14,263.0
228,2022-04-15,266.0
229,2022-04-16,219.0
230,2022-04-17,192.0
231,2022-04-18,168.0
232,2022-04-19,151.0
233,2022-04-20,352.0
234,2022-04-21,127.0
235,2022-04-22,222.0
236,2022-04-23,198.0
237,2022-04-24,198.0
238,2022-04-25,174.0
239,2022-04-26,118.0
240,2022-04-27,191.0
241,2022-04-28,186.0
242,2022-04-29,180.0
243,2022-04-30,227.0
244,2022-05-01,249.0
245,2022-05-02,182.0
246,2022-05-03,132.0
247,2022-05-04,157.0
248,2022-05-05,167.0
249,2022-05-06,143.0
250,2022-05-07,173.0
251,2022-05-08,148.0
252,2022-05-09,176.0
253,2022-05-10,121.0
254,2022-05-11,107.0
255,2022-05-12,137.0
256,2022-05-13,169.0
257,2022-05-14,166.0
258,2022-05-15,200.0
259,2022-05-16,154.0
260,2022-05-17,108.0
261,2022-05-18,102.0
262,2022-05-19,187.0
263,2022-05-20,209.0
264,2022-05-21,243.0
265,2022-05-22,185.0
266,2022-05-23,184.0
267,2022-05-24,145.0
268,2022-05-25,170.0
269,2022-05-26,194.0
270,2022-05-27,202.0
271,2022-05-28,193.0
