date,manila quarantine,quarantine meaning,home quarantine,general quarantine,new_cases
2021-08-17,25,0,16,0,36.26994506931729
2021-08-18,41,0,0,0,41.710698404394456
2021-08-19,82,26,0,0,61.360188333769294
2021-08-20,71,0,0,0,73.38739210044467
2021-08-21,31,0,0,0,70.58331153544337
2021-08-22,33,0,0,0,67.43918388699974
2021-08-23,26,0,0,0,79.2309704420612
2021-08-24,0,0,0,0,46.73816374574941
2021-08-25,30,15,15,0,54.67433952393408
2021-08-26,34,15,0,0,68.75752027203767
2021-08-27,33,0,15,0,74.6534135495684
2021-08-28,22,20,16,0,84.87575202720377
2021-08-29,0,25,0,0,80.2301857180225
2021-08-30,30,0,0,0,100.0
2021-08-31,27,21,0,0,56.01360188333769
