date,actual_y_test,predictions
2020-06-26,41.80887372013652,33.29863
2020-06-27,30.546075085324233,31.075893
2020-06-28,26.57849829351536,30.33754
2020-06-29,40.358361774744026,19.57287
2020-06-30,43.68600682593857,25.848953
2020-07-01,35.110921501706486,22.090292
2020-07-02,10.665529010238908,22.132757
2020-07-03,61.7320819112628,28.481949
2020-07-04,56.527303754266214,31.230982
2020-07-05,96.9283276450512,24.66274
2020-07-06,82.9778156996587,30.976408
2020-07-07,61.7320819112628,32.890285
2020-07-08,96.75767918088737,29.06656
2020-07-09,55.75938566552901,32.283764
2020-07-10,48.97610921501707,33.793858
2020-07-11,55.37542662116041,34.808872
2020-07-12,86.09215017064847,32.45509
2020-07-13,33.78839590443686,25.226377
2020-07-14,24.914675767918087,16.591612
2020-07-15,52.815699658703075,24.285885
2020-07-16,100.0,25.141907
2020-07-17,69.75255972696246,32.81035
2020-07-18,93.0887372013652,37.01637
2020-07-19,90.01706484641639,29.460001
2020-07-20,62.58532423208191,20.895998
2020-07-21,80.11945392491468,33.49959
2020-07-22,60.45221843003413,32.06027
