date,actual_y_test,predictions
2021-04-05,52.141527001862194,38.757572
2021-04-06,58.76665234207134,43.084114
2021-04-07,38.38991548488755,10.030896
2021-04-08,57.56338633433605,27.513367
2021-04-09,78.29823807477439,9.994041
2021-04-10,81.90803609798023,37.626987
2021-04-11,74.93195817218164,89.0223
2021-04-12,72.61853602635726,31.023066
2021-04-13,53.85331614381894,13.673632
2021-04-14,50.694742873513825,20.898865
2021-04-15,73.26314281621544,20.955912
2021-04-16,68.31399512963759,22.989157
2021-04-17,71.36513393496634,31.883615
2021-04-18,64.20283626987538,11.109679
