date,actual_y_test,predictions
2022-05-08,0.1202048709104212,-0.011268511
2022-05-09,0.1933730532037211,-0.30018944
2022-05-10,0.0496498379847392,1.1684368
2022-05-11,0.0130657468380892,-0.06887768
2022-05-12,0.0914602278666248,1.0111394
2022-05-13,0.1750810076303961,-0.33676863
2022-05-14,0.1672415595275426,0.20248099
2022-05-15,0.2560886380265496,0.24004437
2022-05-16,0.1358837671161283,-0.08735345
2022-05-17,0.0156788962057071,1.0220923
2022-05-18,0.0,0.5182016
2022-05-19,0.2221176962475175,2.2808666
2022-05-20,0.2796069823351103,-0.21821521
2022-05-21,0.3684540608341173,0.94468164
2022-05-22,0.2168913975122818,-0.02933465
2022-05-23,0.2142782481446639,0.6030052
2022-05-24,0.1123654228075676,0.52724767
2022-05-25,0.177694156998014,0.25763655
2022-05-26,0.2404097418208425,0.3020606
2022-05-27,0.2613149367617853,-0.49695182
2022-05-28,0.2377965924532246,-0.71485305
